resultats-coocurences-kr
token	corpus size	all contexts size	frequency	co-frequency	specificity
모델군으로	157436	19990	2	2	1.79
환경에서도	157436	19990	2	2	1.79
구동할	157436	19990	2	2	1.79
전했다	157436	19990	2	2	1.79
“올해는	157436	19990	2	2	1.79
급성장과	157436	19990	2	2	1.79
Vision	157436	19990	2	2	1.79
Model	157436	19990	2	2	1.79
출시된	157436	19990	2	2	1.79
해였다”라며	157436	19990	2	2	1.79
“초기에는	157436	19990	2	2	1.79
도구이다	157436	19990	2	2	1.79
기호인	157436	19990	2	2	1.79
상태인	157436	19990	2	2	1.79
복잡하지만	157436	19990	2	2	1.79
체계적이며	157436	19990	2	2	1.79
양면을	157436	19990	2	2	1.79
깨뜨리지	157436	19990	2	2	1.79
일어나므로	157436	19990	2	2	1.79
깨닫지	157436	19990	2	2	1.79
음소는	157436	19990	2	2	1.79
제약을	157436	19990	2	2	1.79
결합하여	157436	19990	2	2	1.79
음절을	157436	19990	2	2	1.79
음절들은	157436	19990	2	2	1.79
이룬다	157436	19990	2	2	1.79
내재되어	157436	19990	2	2	1.79
언어능력이라고	157436	19990	2	2	1.79
실제의	157436	19990	2	2	1.79
실수나	157436	19990	2	2	1.79
수행이라고	157436	19990	2	2	1.79
분기하여	157436	19990	2	2	1.79
확인하여	157436	19990	2	2	1.79
어족임을	157436	19990	2	2	1.79
반영하고	157436	19990	2	2	1.79
정감이	157436	19990	2	2	1.79
다양성이라고	157436	19990	2	2	1.79
다양성이	157436	19990	2	2	1.79
중요하듯이	157436	19990	2	2	1.79
삶을	157436	19990	2	2	1.79
파악하기에	157436	19990	2	2	1.79
이르렀고	157436	19990	2	2	1.79
오지에	157436	19990	2	2	1.79
노력하고	157436	19990	2	2	1.79
김윤신	157436	19990	2	2	1.79
전순환	157436	19990	2	2	1.79
구별하여	157436	19990	2	2	1.79
최소의	157436	19990	2	2	1.79
올라온	157436	19990	2	2	1.79
폐쇄나	157436	19990	2	2	1.79
마찰에	157436	19990	2	2	1.79
진동과	157436	19990	2	2	1.79
성문을	157436	19990	2	2	1.79
마찰하거나	157436	19990	2	2	1.79
폐쇄하여	157436	19990	2	2	1.79
조음되는	157436	19990	2	2	1.79
닿소리	157436	19990	2	2	1.79
직감할	157436	19990	2	2	1.79
최소단위	157436	19990	2	2	1.79
이름씨	157436	19990	2	2	1.79
움직임이나	157436	19990	2	2	1.79
작용을	157436	19990	2	2	1.79
움직씨	157436	19990	2	2	1.79
부여계	157436	19990	2	2	1.79
동북지역에서	157436	19990	2	2	1.79
한국어계	157436	19990	2	2	1.79
알타이조어	157436	19990	2	2	1.79
비교를	157436	19990	2	2	1.79
재구한	157436	19990	2	2	1.79
最古	157436	19990	2	2	1.79
한반도어	157436	19990	2	2	1.79
사용되기	157436	19990	2	2	1.79
친족관계	157436	19990	2	2	1.79
물려받은	157436	19990	2	2	1.79
유사점을	157436	19990	2	2	1.79
가족으로	157436	19990	2	2	1.79
친연관계	157436	19990	2	2	1.79
기본사항	157436	19990	2	2	1.79
미술사학	157436	19990	2	2	1.79
음악사학	157436	19990	2	2	1.79
사학	157436	19990	2	2	1.79
과학사학	157436	19990	2	2	1.79
세심하게	157436	19990	2	2	1.79
학교들은	157436	19990	2	2	1.79
천착하는	157436	19990	2	2	1.79
진학한	157436	19990	2	2	1.79
선배의	157436	19990	2	2	1.79
조언을	157436	19990	2	2	1.79
바람직하다	157436	19990	2	2	1.79
서술되었다시피	157436	19990	2	2	1.79
학문이며	157436	19990	2	2	1.79
불어학	157436	19990	2	2	1.79
단순화시킨다면	157436	19990	2	2	1.79
연구되는	157436	19990	2	2	1.79
수집하여	157436	19990	2	2	1.79
기술한다	157436	19990	2	2	1.79
잡는다면	157436	19990	2	2	1.79
알아요	157436	19990	2	2	1.79
질문하면	157436	19990	2	2	1.79
개설하는	157436	19990	2	2	1.79
수단으로서	157436	19990	2	2	1.79
신학교에서	157436	19990	2	2	1.79
히브리어를	157436	19990	2	2	1.79
공부하면	157436	19990	2	2	1.79
문법으로	157436	19990	2	2	1.79
방법에서	157436	19990	2	2	1.79
언어심리학이	157436	19990	2	2	1.79
주안점을	157436	19990	2	2	1.79
둔다면	157436	19990	2	2	1.79
바꾸었다	157436	19990	2	2	1.79
생성언어학은	157436	19990	2	2	1.79
당위성에	157436	19990	2	2	1.79
대상을	157436	19990	2	2	1.79
능력인	157436	19990	2	2	1.79
universal	157436	19990	2	2	1.79
grammar	157436	19990	2	2	1.79
상정하고	157436	19990	2	2	1.79
기저	157436	19990	2	2	1.79
귀납적	157436	19990	2	2	1.79
생성언어학의	157436	19990	2	2	1.79
연구에서는	157436	19990	2	2	1.79
연역적	157436	19990	2	2	1.79
일람에	157436	19990	2	2	1.79
참고하시오	157436	19990	2	2	1.79
문자학	157436	19990	2	2	1.79
an	157436	19990	2	2	1.79
optimal	157436	19990	2	2	1.79
solution	157436	19990	2	2	1.79
conditions	157436	19990	2	2	1.79
접면	157436	19990	2	2	1.79
최적해이다	157436	19990	2	2	1.79
통상적으로	157436	19990	2	2	1.79
비교이다	157436	19990	2	2	1.79
학풍	157436	19990	2	2	1.79
학교든	157436	19990	2	2	1.79
전반적	157436	19990	2	2	1.79
보았을	157436	19990	2	2	1.79
국수주의적이고	157436	19990	2	2	1.79
지엽적이다	157436	19990	2	2	1.79
수입하거나	157436	19990	2	2	1.79
교수들은	157436	19990	2	2	1.79
국어학의	157436	19990	2	2	1.79
갈라파고스화를	157436	19990	2	2	1.79
개혁이	157436	19990	2	2	1.79
통사론이	157436	19990	2	2	1.79
한국적이라고	157436	19990	2	2	1.79
근래의	157436	19990	2	2	1.79
국어학계도	157436	19990	2	2	1.79
젊고	157436	19990	2	2	1.79
tense	157436	19990	2	2	1.79
pronoun	157436	19990	2	2	1.79
언어들에서는	157436	19990	2	2	1.79
현상들에	157436	19990	2	2	1.79
동남아시아의	157436	19990	2	2	1.79
문장이나	157436	19990	2	2	1.79
bMOYMTM	157436	19990	2	2	1.79
SAP	157436	19990	2	2	1.79
코볼의	157436	19990	2	2	1.79
쓰듯이	157436	19990	2	2	1.79
액션스크립트	157436	19990	2	2	1.79
알골	157436	19990	2	2	1.79
쓰이진	157436	19990	2	2	1.79
주었다	157436	19990	2	2	1.79
특수문자로	157436	19990	2	2	1.79
떡칠된	157436	19990	2	2	1.79
UNIX	157436	19990	2	2	1.79
운영체제에서	157436	19990	2	2	1.79
처리하기	157436	19990	2	2	1.79
간략하게	157436	19990	2	2	1.79
코볼	157436	19990	2	2	1.79
사무처리용	157436	19990	2	2	1.79
포트란과	157436	19990	2	2	1.79
Eiffel	157436	19990	2	2	1.79
병행성	157436	19990	2	2	1.79
Factor	157436	19990	2	2	1.79
포트란	157436	19990	2	2	1.79
뛰어나다	157436	19990	2	2	1.79
머시닝센터	157436	19990	2	2	1.79
CNC	157436	19990	2	2	1.79
선반	157436	19990	2	2	1.79
공작기계에	157436	19990	2	2	1.79
돌아가는	157436	19990	2	2	1.79
HolyC	157436	19990	2	2	1.79
TempleOS	157436	19990	2	2	1.79
변종	157436	19990	2	2	1.79
IDL	157436	19990	2	2	1.79
천문학이나	157436	19990	2	2	1.79
Clojure	157436	19990	2	2	1.79
실행되는	157436	19990	2	2	1.79
Railgun	157436	19990	2	2	1.79
Lisp	157436	19990	2	2	1.79
Racket	157436	19990	2	2	1.79
범용적인	157436	19990	2	2	1.79
매크로가	157436	19990	2	2	1.79
Cam	157436	19990	2	2	1.79
Moonlight	157436	19990	2	2	1.79
테라리아의	157436	19990	2	2	1.79
Nim	157436	19990	2	2	1.79
모듈라에	157436	19990	2	2	1.79
PowerBuilder	157436	19990	2	2	1.79
Process	157436	19990	2	2	1.79
ing	157436	19990	2	2	1.79
인공지능에	157436	19990	2	2	1.79
PureScript	157436	19990	2	2	1.79
모질라	157436	19990	2	2	1.79
재단에서	157436	19990	2	2	1.79
Smalltalk	157436	19990	2	2	1.79
구현한	157436	19990	2	2	1.79
WWDC	157436	19990	2	2	1.79
대체할	157436	19990	2	2	1.79
애플의	157436	19990	2	2	1.79
Microsoft	157436	19990	2	2	1.79
제작용	157436	19990	2	2	1.79
MineTweaker	157436	19990	2	2	1.79
스크립트에	157436	19990	2	2	1.79
Zig	157436	19990	2	2	1.79
포기하고	157436	19990	2	2	1.79
두리틀	157436	19990	2	2	1.79
올바르고	157436	19990	2	2	1.79
아희	157436	19990	2	2	1.79
약속	157436	19990	2	2	1.79
인정하지	157436	19990	2	2	1.79
학자도	157436	19990	2	2	1.79
않거나	157436	19990	2	2	1.79
특수목적에	157436	19990	2	2	1.79
Domain	157436	19990	2	2	1.79
Specific	157436	19990	2	2	1.79
ASL	157436	19990	2	2	1.79
핵	157436	19990	2	2	1.79
비언어로	157436	19990	2	2	1.79
갈린다	157436	19990	2	2	1.79
Cuda	157436	19990	2	2	1.79
Dhall	157436	19990	2	2	1.79
구조화용	157436	19990	2	2	1.79
부분적인	157436	19990	2	2	1.79
프로그래밍이	157436	19990	2	2	1.79
json	157436	19990	2	2	1.79
스튜디오에서	157436	19990	2	2	1.79
